,ID,LAT_MIN,LAT_MAX,LON_MIN,LON_MAX
0,"(0, 0)",-23.9480184,-23.921001399999998,-46.822750808,-46.79573380800001
1,"(0, 1)",-23.9480184,-23.921001399999998,-46.795723808000005,-46.768706808000005
2,"(0, 2)",-23.9480184,-23.921001399999998,-46.768696808,-46.74167980800001
3,"(0, 3)",-23.9480184,-23.921001399999998,-46.741669808000005,-46.714652808000004
4,"(0, 4)",-23.9480184,-23.921001399999998,-46.714642808,-46.68762580800001
5,"(0, 5)",-23.9480184,-23.921001399999998,-46.687615808000004,-46.660598808
6,"(0, 6)",-23.9480184,-23.921001399999998,-46.660588808,-46.633571808000006
7,"(0, 7)",-23.9480184,-23.921001399999998,-46.633561808,-46.606544808
8,"(0, 8)",-23.9480184,-23.921001399999998,-46.606534808,-46.579517808000006
9,"(0, 9)",-23.9480184,-23.921001399999998,-46.579507808,-46.552490808
10,"(0, 10)",-23.9480184,-23.921001399999998,-46.552480808,-46.525463808000005
11,"(0, 11)",-23.9480184,-23.921001399999998,-46.525453808,-46.49843680800001
12,"(0, 12)",-23.9480184,-23.921001399999998,-46.498426808000005,-46.471409808000004
13,"(0, 13)",-23.9480184,-23.921001399999998,-46.471399808,-46.44438280800001
14,"(0, 14)",-23.9480184,-23.921001399999998,-46.444372808000004,-46.417355808
15,"(0, 15)",-23.9480184,-23.921001399999998,-46.417345808,-46.39032880800001
16,"(0, 16)",-23.9480184,-23.921001399999998,-46.390318808,-46.363301808
17,"(0, 17)",-23.9480184,-23.921001399999998,-46.363291808,-46.336274808000006
18,"(0, 18)",-23.9480184,-23.921001399999998,-46.336264808,-46.309247808
19,"(0, 19)",-23.9480184,-23.921001399999998,-46.309237808,-46.282220808000005
20,"(0, 20)",-23.9480184,-23.921001399999998,-46.282210808,-46.25519380800001
21,"(0, 21)",-23.9480184,-23.921001399999998,-46.255183808000005,-46.228166808000005
22,"(1, 0)",-23.9209914,-23.893974399999998,-46.822750808,-46.79573380800001
23,"(1, 1)",-23.9209914,-23.893974399999998,-46.795723808000005,-46.768706808000005
24,"(1, 2)",-23.9209914,-23.893974399999998,-46.768696808,-46.74167980800001
25,"(1, 3)",-23.9209914,-23.893974399999998,-46.741669808000005,-46.714652808000004
26,"(1, 4)",-23.9209914,-23.893974399999998,-46.714642808,-46.68762580800001
27,"(1, 5)",-23.9209914,-23.893974399999998,-46.687615808000004,-46.660598808
28,"(1, 6)",-23.9209914,-23.893974399999998,-46.660588808,-46.633571808000006
29,"(1, 7)",-23.9209914,-23.893974399999998,-46.633561808,-46.606544808
30,"(1, 8)",-23.9209914,-23.893974399999998,-46.606534808,-46.579517808000006
31,"(1, 9)",-23.9209914,-23.893974399999998,-46.579507808,-46.552490808
32,"(1, 10)",-23.9209914,-23.893974399999998,-46.552480808,-46.525463808000005
33,"(1, 11)",-23.9209914,-23.893974399999998,-46.525453808,-46.49843680800001
34,"(1, 12)",-23.9209914,-23.893974399999998,-46.498426808000005,-46.471409808000004
35,"(1, 13)",-23.9209914,-23.893974399999998,-46.471399808,-46.44438280800001
36,"(1, 14)",-23.9209914,-23.893974399999998,-46.444372808000004,-46.417355808
37,"(1, 15)",-23.9209914,-23.893974399999998,-46.417345808,-46.39032880800001
38,"(1, 16)",-23.9209914,-23.893974399999998,-46.390318808,-46.363301808
39,"(1, 17)",-23.9209914,-23.893974399999998,-46.363291808,-46.336274808000006
40,"(1, 18)",-23.9209914,-23.893974399999998,-46.336264808,-46.309247808
41,"(1, 19)",-23.9209914,-23.893974399999998,-46.309237808,-46.282220808000005
42,"(1, 20)",-23.9209914,-23.893974399999998,-46.282210808,-46.25519380800001
43,"(1, 21)",-23.9209914,-23.893974399999998,-46.255183808000005,-46.228166808000005
44,"(2, 0)",-23.893964399999998,-23.866947399999997,-46.822750808,-46.79573380800001
45,"(2, 1)",-23.893964399999998,-23.866947399999997,-46.795723808000005,-46.768706808000005
46,"(2, 2)",-23.893964399999998,-23.866947399999997,-46.768696808,-46.74167980800001
47,"(2, 3)",-23.893964399999998,-23.866947399999997,-46.741669808000005,-46.714652808000004
48,"(2, 4)",-23.893964399999998,-23.866947399999997,-46.714642808,-46.68762580800001
49,"(2, 5)",-23.893964399999998,-23.866947399999997,-46.687615808000004,-46.660598808
50,"(2, 6)",-23.893964399999998,-23.866947399999997,-46.660588808,-46.633571808000006
51,"(2, 7)",-23.893964399999998,-23.866947399999997,-46.633561808,-46.606544808
52,"(2, 8)",-23.893964399999998,-23.866947399999997,-46.606534808,-46.579517808000006
53,"(2, 9)",-23.893964399999998,-23.866947399999997,-46.579507808,-46.552490808
54,"(2, 10)",-23.893964399999998,-23.866947399999997,-46.552480808,-46.525463808000005
55,"(2, 11)",-23.893964399999998,-23.866947399999997,-46.525453808,-46.49843680800001
56,"(2, 12)",-23.893964399999998,-23.866947399999997,-46.498426808000005,-46.471409808000004
57,"(2, 13)",-23.893964399999998,-23.866947399999997,-46.471399808,-46.44438280800001
58,"(2, 14)",-23.893964399999998,-23.866947399999997,-46.444372808000004,-46.417355808
59,"(2, 15)",-23.893964399999998,-23.866947399999997,-46.417345808,-46.39032880800001
60,"(2, 16)",-23.893964399999998,-23.866947399999997,-46.390318808,-46.363301808
61,"(2, 17)",-23.893964399999998,-23.866947399999997,-46.363291808,-46.336274808000006
62,"(2, 18)",-23.893964399999998,-23.866947399999997,-46.336264808,-46.309247808
63,"(2, 19)",-23.893964399999998,-23.866947399999997,-46.309237808,-46.282220808000005
64,"(2, 20)",-23.893964399999998,-23.866947399999997,-46.282210808,-46.25519380800001
65,"(2, 21)",-23.893964399999998,-23.866947399999997,-46.255183808000005,-46.228166808000005
66,"(3, 0)",-23.866937399999998,-23.839920399999997,-46.822750808,-46.79573380800001
67,"(3, 1)",-23.866937399999998,-23.839920399999997,-46.795723808000005,-46.768706808000005
68,"(3, 2)",-23.866937399999998,-23.839920399999997,-46.768696808,-46.74167980800001
69,"(3, 3)",-23.866937399999998,-23.839920399999997,-46.741669808000005,-46.714652808000004
70,"(3, 4)",-23.866937399999998,-23.839920399999997,-46.714642808,-46.68762580800001
71,"(3, 5)",-23.866937399999998,-23.839920399999997,-46.687615808000004,-46.660598808
72,"(3, 6)",-23.866937399999998,-23.839920399999997,-46.660588808,-46.633571808000006
73,"(3, 7)",-23.866937399999998,-23.839920399999997,-46.633561808,-46.606544808
74,"(3, 8)",-23.866937399999998,-23.839920399999997,-46.606534808,-46.579517808000006
75,"(3, 9)",-23.866937399999998,-23.839920399999997,-46.579507808,-46.552490808
76,"(3, 10)",-23.866937399999998,-23.839920399999997,-46.552480808,-46.525463808000005
77,"(3, 11)",-23.866937399999998,-23.839920399999997,-46.525453808,-46.49843680800001
78,"(3, 12)",-23.866937399999998,-23.839920399999997,-46.498426808000005,-46.471409808000004
79,"(3, 13)",-23.866937399999998,-23.839920399999997,-46.471399808,-46.44438280800001
80,"(3, 14)",-23.866937399999998,-23.839920399999997,-46.444372808000004,-46.417355808
81,"(3, 15)",-23.866937399999998,-23.839920399999997,-46.417345808,-46.39032880800001
82,"(3, 16)",-23.866937399999998,-23.839920399999997,-46.390318808,-46.363301808
83,"(3, 17)",-23.866937399999998,-23.839920399999997,-46.363291808,-46.336274808000006
84,"(3, 18)",-23.866937399999998,-23.839920399999997,-46.336264808,-46.309247808
85,"(3, 19)",-23.866937399999998,-23.839920399999997,-46.309237808,-46.282220808000005
86,"(3, 20)",-23.866937399999998,-23.839920399999997,-46.282210808,-46.25519380800001
87,"(3, 21)",-23.866937399999998,-23.839920399999997,-46.255183808000005,-46.228166808000005
88,"(4, 0)",-23.839910399999997,-23.812893399999997,-46.822750808,-46.79573380800001
89,"(4, 1)",-23.839910399999997,-23.812893399999997,-46.795723808000005,-46.768706808000005
90,"(4, 2)",-23.839910399999997,-23.812893399999997,-46.768696808,-46.74167980800001
91,"(4, 3)",-23.839910399999997,-23.812893399999997,-46.741669808000005,-46.714652808000004
92,"(4, 4)",-23.839910399999997,-23.812893399999997,-46.714642808,-46.68762580800001
93,"(4, 5)",-23.839910399999997,-23.812893399999997,-46.687615808000004,-46.660598808
94,"(4, 6)",-23.839910399999997,-23.812893399999997,-46.660588808,-46.633571808000006
95,"(4, 7)",-23.839910399999997,-23.812893399999997,-46.633561808,-46.606544808
96,"(4, 8)",-23.839910399999997,-23.812893399999997,-46.606534808,-46.579517808000006
97,"(4, 9)",-23.839910399999997,-23.812893399999997,-46.579507808,-46.552490808
98,"(4, 10)",-23.839910399999997,-23.812893399999997,-46.552480808,-46.525463808000005
99,"(4, 11)",-23.839910399999997,-23.812893399999997,-46.525453808,-46.49843680800001
100,"(4, 12)",-23.839910399999997,-23.812893399999997,-46.498426808000005,-46.471409808000004
101,"(4, 13)",-23.839910399999997,-23.812893399999997,-46.471399808,-46.44438280800001
102,"(4, 14)",-23.839910399999997,-23.812893399999997,-46.444372808000004,-46.417355808
103,"(4, 15)",-23.839910399999997,-23.812893399999997,-46.417345808,-46.39032880800001
104,"(4, 16)",-23.839910399999997,-23.812893399999997,-46.390318808,-46.363301808
105,"(4, 17)",-23.839910399999997,-23.812893399999997,-46.363291808,-46.336274808000006
106,"(4, 18)",-23.839910399999997,-23.812893399999997,-46.336264808,-46.309247808
107,"(4, 19)",-23.839910399999997,-23.812893399999997,-46.309237808,-46.282220808000005
108,"(4, 20)",-23.839910399999997,-23.812893399999997,-46.282210808,-46.25519380800001
109,"(4, 21)",-23.839910399999997,-23.812893399999997,-46.255183808000005,-46.228166808000005
110,"(5, 0)",-23.812883399999997,-23.7858664,-46.822750808,-46.79573380800001
111,"(5, 1)",-23.812883399999997,-23.7858664,-46.795723808000005,-46.768706808000005
112,"(5, 2)",-23.812883399999997,-23.7858664,-46.768696808,-46.74167980800001
113,"(5, 3)",-23.812883399999997,-23.7858664,-46.741669808000005,-46.714652808000004
114,"(5, 4)",-23.812883399999997,-23.7858664,-46.714642808,-46.68762580800001
115,"(5, 5)",-23.812883399999997,-23.7858664,-46.687615808000004,-46.660598808
116,"(5, 6)",-23.812883399999997,-23.7858664,-46.660588808,-46.633571808000006
117,"(5, 7)",-23.812883399999997,-23.7858664,-46.633561808,-46.606544808
118,"(5, 8)",-23.812883399999997,-23.7858664,-46.606534808,-46.579517808000006
119,"(5, 9)",-23.812883399999997,-23.7858664,-46.579507808,-46.552490808
120,"(5, 10)",-23.812883399999997,-23.7858664,-46.552480808,-46.525463808000005
121,"(5, 11)",-23.812883399999997,-23.7858664,-46.525453808,-46.49843680800001
122,"(5, 12)",-23.812883399999997,-23.7858664,-46.498426808000005,-46.471409808000004
123,"(5, 13)",-23.812883399999997,-23.7858664,-46.471399808,-46.44438280800001
124,"(5, 14)",-23.812883399999997,-23.7858664,-46.444372808000004,-46.417355808
125,"(5, 15)",-23.812883399999997,-23.7858664,-46.417345808,-46.39032880800001
126,"(5, 16)",-23.812883399999997,-23.7858664,-46.390318808,-46.363301808
127,"(5, 17)",-23.812883399999997,-23.7858664,-46.363291808,-46.336274808000006
128,"(5, 18)",-23.812883399999997,-23.7858664,-46.336264808,-46.309247808
129,"(5, 19)",-23.812883399999997,-23.7858664,-46.309237808,-46.282220808000005
130,"(5, 20)",-23.812883399999997,-23.7858664,-46.282210808,-46.25519380800001
131,"(5, 21)",-23.812883399999997,-23.7858664,-46.255183808000005,-46.228166808000005
132,"(6, 0)",-23.7858564,-23.7588394,-46.822750808,-46.79573380800001
133,"(6, 1)",-23.7858564,-23.7588394,-46.795723808000005,-46.768706808000005
134,"(6, 2)",-23.7858564,-23.7588394,-46.768696808,-46.74167980800001
135,"(6, 3)",-23.7858564,-23.7588394,-46.741669808000005,-46.714652808000004
136,"(6, 4)",-23.7858564,-23.7588394,-46.714642808,-46.68762580800001
137,"(6, 5)",-23.7858564,-23.7588394,-46.687615808000004,-46.660598808
138,"(6, 6)",-23.7858564,-23.7588394,-46.660588808,-46.633571808000006
139,"(6, 7)",-23.7858564,-23.7588394,-46.633561808,-46.606544808
140,"(6, 8)",-23.7858564,-23.7588394,-46.606534808,-46.579517808000006
141,"(6, 9)",-23.7858564,-23.7588394,-46.579507808,-46.552490808
142,"(6, 10)",-23.7858564,-23.7588394,-46.552480808,-46.525463808000005
143,"(6, 11)",-23.7858564,-23.7588394,-46.525453808,-46.49843680800001
144,"(6, 12)",-23.7858564,-23.7588394,-46.498426808000005,-46.471409808000004
145,"(6, 13)",-23.7858564,-23.7588394,-46.471399808,-46.44438280800001
146,"(6, 14)",-23.7858564,-23.7588394,-46.444372808000004,-46.417355808
147,"(6, 15)",-23.7858564,-23.7588394,-46.417345808,-46.39032880800001
148,"(6, 16)",-23.7858564,-23.7588394,-46.390318808,-46.363301808
149,"(6, 17)",-23.7858564,-23.7588394,-46.363291808,-46.336274808000006
150,"(6, 18)",-23.7858564,-23.7588394,-46.336264808,-46.309247808
151,"(6, 19)",-23.7858564,-23.7588394,-46.309237808,-46.282220808000005
152,"(6, 20)",-23.7858564,-23.7588394,-46.282210808,-46.25519380800001
153,"(6, 21)",-23.7858564,-23.7588394,-46.255183808000005,-46.228166808000005
154,"(7, 0)",-23.7588294,-23.7318124,-46.822750808,-46.79573380800001
155,"(7, 1)",-23.7588294,-23.7318124,-46.795723808000005,-46.768706808000005
156,"(7, 2)",-23.7588294,-23.7318124,-46.768696808,-46.74167980800001
157,"(7, 3)",-23.7588294,-23.7318124,-46.741669808000005,-46.714652808000004
158,"(7, 4)",-23.7588294,-23.7318124,-46.714642808,-46.68762580800001
159,"(7, 5)",-23.7588294,-23.7318124,-46.687615808000004,-46.660598808
160,"(7, 6)",-23.7588294,-23.7318124,-46.660588808,-46.633571808000006
161,"(7, 7)",-23.7588294,-23.7318124,-46.633561808,-46.606544808
162,"(7, 8)",-23.7588294,-23.7318124,-46.606534808,-46.579517808000006
163,"(7, 9)",-23.7588294,-23.7318124,-46.579507808,-46.552490808
164,"(7, 10)",-23.7588294,-23.7318124,-46.552480808,-46.525463808000005
165,"(7, 11)",-23.7588294,-23.7318124,-46.525453808,-46.49843680800001
166,"(7, 12)",-23.7588294,-23.7318124,-46.498426808000005,-46.471409808000004
167,"(7, 13)",-23.7588294,-23.7318124,-46.471399808,-46.44438280800001
168,"(7, 14)",-23.7588294,-23.7318124,-46.444372808000004,-46.417355808
169,"(7, 15)",-23.7588294,-23.7318124,-46.417345808,-46.39032880800001
170,"(7, 16)",-23.7588294,-23.7318124,-46.390318808,-46.363301808
171,"(7, 17)",-23.7588294,-23.7318124,-46.363291808,-46.336274808000006
172,"(7, 18)",-23.7588294,-23.7318124,-46.336264808,-46.309247808
173,"(7, 19)",-23.7588294,-23.7318124,-46.309237808,-46.282220808000005
174,"(7, 20)",-23.7588294,-23.7318124,-46.282210808,-46.25519380800001
175,"(7, 21)",-23.7588294,-23.7318124,-46.255183808000005,-46.228166808000005
176,"(8, 0)",-23.7318024,-23.7047854,-46.822750808,-46.79573380800001
177,"(8, 1)",-23.7318024,-23.7047854,-46.795723808000005,-46.768706808000005
178,"(8, 2)",-23.7318024,-23.7047854,-46.768696808,-46.74167980800001
179,"(8, 3)",-23.7318024,-23.7047854,-46.741669808000005,-46.714652808000004
180,"(8, 4)",-23.7318024,-23.7047854,-46.714642808,-46.68762580800001
181,"(8, 5)",-23.7318024,-23.7047854,-46.687615808000004,-46.660598808
182,"(8, 6)",-23.7318024,-23.7047854,-46.660588808,-46.633571808000006
183,"(8, 7)",-23.7318024,-23.7047854,-46.633561808,-46.606544808
184,"(8, 8)",-23.7318024,-23.7047854,-46.606534808,-46.579517808000006
185,"(8, 9)",-23.7318024,-23.7047854,-46.579507808,-46.552490808
186,"(8, 10)",-23.7318024,-23.7047854,-46.552480808,-46.525463808000005
187,"(8, 11)",-23.7318024,-23.7047854,-46.525453808,-46.49843680800001
188,"(8, 12)",-23.7318024,-23.7047854,-46.498426808000005,-46.471409808000004
189,"(8, 13)",-23.7318024,-23.7047854,-46.471399808,-46.44438280800001
190,"(8, 14)",-23.7318024,-23.7047854,-46.444372808000004,-46.417355808
191,"(8, 15)",-23.7318024,-23.7047854,-46.417345808,-46.39032880800001
192,"(8, 16)",-23.7318024,-23.7047854,-46.390318808,-46.363301808
193,"(8, 17)",-23.7318024,-23.7047854,-46.363291808,-46.336274808000006
194,"(8, 18)",-23.7318024,-23.7047854,-46.336264808,-46.309247808
195,"(8, 19)",-23.7318024,-23.7047854,-46.309237808,-46.282220808000005
196,"(8, 20)",-23.7318024,-23.7047854,-46.282210808,-46.25519380800001
197,"(8, 21)",-23.7318024,-23.7047854,-46.255183808000005,-46.228166808000005
198,"(9, 0)",-23.7047754,-23.6777584,-46.822750808,-46.79573380800001
199,"(9, 1)",-23.7047754,-23.6777584,-46.795723808000005,-46.768706808000005
200,"(9, 2)",-23.7047754,-23.6777584,-46.768696808,-46.74167980800001
201,"(9, 3)",-23.7047754,-23.6777584,-46.741669808000005,-46.714652808000004
202,"(9, 4)",-23.7047754,-23.6777584,-46.714642808,-46.68762580800001
203,"(9, 5)",-23.7047754,-23.6777584,-46.687615808000004,-46.660598808
204,"(9, 6)",-23.7047754,-23.6777584,-46.660588808,-46.633571808000006
205,"(9, 7)",-23.7047754,-23.6777584,-46.633561808,-46.606544808
206,"(9, 8)",-23.7047754,-23.6777584,-46.606534808,-46.579517808000006
207,"(9, 9)",-23.7047754,-23.6777584,-46.579507808,-46.552490808
208,"(9, 10)",-23.7047754,-23.6777584,-46.552480808,-46.525463808000005
209,"(9, 11)",-23.7047754,-23.6777584,-46.525453808,-46.49843680800001
210,"(9, 12)",-23.7047754,-23.6777584,-46.498426808000005,-46.471409808000004
211,"(9, 13)",-23.7047754,-23.6777584,-46.471399808,-46.44438280800001
212,"(9, 14)",-23.7047754,-23.6777584,-46.444372808000004,-46.417355808
213,"(9, 15)",-23.7047754,-23.6777584,-46.417345808,-46.39032880800001
214,"(9, 16)",-23.7047754,-23.6777584,-46.390318808,-46.363301808
215,"(9, 17)",-23.7047754,-23.6777584,-46.363291808,-46.336274808000006
216,"(9, 18)",-23.7047754,-23.6777584,-46.336264808,-46.309247808
217,"(9, 19)",-23.7047754,-23.6777584,-46.309237808,-46.282220808000005
218,"(9, 20)",-23.7047754,-23.6777584,-46.282210808,-46.25519380800001
219,"(9, 21)",-23.7047754,-23.6777584,-46.255183808000005,-46.228166808000005
220,"(10, 0)",-23.6777484,-23.650731399999998,-46.822750808,-46.79573380800001
221,"(10, 1)",-23.6777484,-23.650731399999998,-46.795723808000005,-46.768706808000005
222,"(10, 2)",-23.6777484,-23.650731399999998,-46.768696808,-46.74167980800001
223,"(10, 3)",-23.6777484,-23.650731399999998,-46.741669808000005,-46.714652808000004
224,"(10, 4)",-23.6777484,-23.650731399999998,-46.714642808,-46.68762580800001
225,"(10, 5)",-23.6777484,-23.650731399999998,-46.687615808000004,-46.660598808
226,"(10, 6)",-23.6777484,-23.650731399999998,-46.660588808,-46.633571808000006
227,"(10, 7)",-23.6777484,-23.650731399999998,-46.633561808,-46.606544808
228,"(10, 8)",-23.6777484,-23.650731399999998,-46.606534808,-46.579517808000006
229,"(10, 9)",-23.6777484,-23.650731399999998,-46.579507808,-46.552490808
230,"(10, 10)",-23.6777484,-23.650731399999998,-46.552480808,-46.525463808000005
231,"(10, 11)",-23.6777484,-23.650731399999998,-46.525453808,-46.49843680800001
232,"(10, 12)",-23.6777484,-23.650731399999998,-46.498426808000005,-46.471409808000004
233,"(10, 13)",-23.6777484,-23.650731399999998,-46.471399808,-46.44438280800001
234,"(10, 14)",-23.6777484,-23.650731399999998,-46.444372808000004,-46.417355808
235,"(10, 15)",-23.6777484,-23.650731399999998,-46.417345808,-46.39032880800001
236,"(10, 16)",-23.6777484,-23.650731399999998,-46.390318808,-46.363301808
237,"(10, 17)",-23.6777484,-23.650731399999998,-46.363291808,-46.336274808000006
238,"(10, 18)",-23.6777484,-23.650731399999998,-46.336264808,-46.309247808
239,"(10, 19)",-23.6777484,-23.650731399999998,-46.309237808,-46.282220808000005
240,"(10, 20)",-23.6777484,-23.650731399999998,-46.282210808,-46.25519380800001
241,"(10, 21)",-23.6777484,-23.650731399999998,-46.255183808000005,-46.228166808000005
242,"(11, 0)",-23.6507214,-23.623704399999998,-46.822750808,-46.79573380800001
243,"(11, 1)",-23.6507214,-23.623704399999998,-46.795723808000005,-46.768706808000005
244,"(11, 2)",-23.6507214,-23.623704399999998,-46.768696808,-46.74167980800001
245,"(11, 3)",-23.6507214,-23.623704399999998,-46.741669808000005,-46.714652808000004
246,"(11, 4)",-23.6507214,-23.623704399999998,-46.714642808,-46.68762580800001
247,"(11, 5)",-23.6507214,-23.623704399999998,-46.687615808000004,-46.660598808
248,"(11, 6)",-23.6507214,-23.623704399999998,-46.660588808,-46.633571808000006
249,"(11, 7)",-23.6507214,-23.623704399999998,-46.633561808,-46.606544808
250,"(11, 8)",-23.6507214,-23.623704399999998,-46.606534808,-46.579517808000006
251,"(11, 9)",-23.6507214,-23.623704399999998,-46.579507808,-46.552490808
252,"(11, 10)",-23.6507214,-23.623704399999998,-46.552480808,-46.525463808000005
253,"(11, 11)",-23.6507214,-23.623704399999998,-46.525453808,-46.49843680800001
254,"(11, 12)",-23.6507214,-23.623704399999998,-46.498426808000005,-46.471409808000004
255,"(11, 13)",-23.6507214,-23.623704399999998,-46.471399808,-46.44438280800001
256,"(11, 14)",-23.6507214,-23.623704399999998,-46.444372808000004,-46.417355808
257,"(11, 15)",-23.6507214,-23.623704399999998,-46.417345808,-46.39032880800001
258,"(11, 16)",-23.6507214,-23.623704399999998,-46.390318808,-46.363301808
259,"(11, 17)",-23.6507214,-23.623704399999998,-46.363291808,-46.336274808000006
260,"(11, 18)",-23.6507214,-23.623704399999998,-46.336264808,-46.309247808
261,"(11, 19)",-23.6507214,-23.623704399999998,-46.309237808,-46.282220808000005
262,"(11, 20)",-23.6507214,-23.623704399999998,-46.282210808,-46.25519380800001
263,"(11, 21)",-23.6507214,-23.623704399999998,-46.255183808000005,-46.228166808000005
264,"(12, 0)",-23.623694399999998,-23.596677399999997,-46.822750808,-46.79573380800001
